ExerciseDays,BMIPercentile
1,66.5318241
0,98.17431868
0,33.07553097
6,45.68833421
5,62.39033084
0,13.9696424
0,80.35879541
1,80.08049978
3,35.25725233
5,80.35879541
0,76.77275392
7,41.90226796
7,49.68153626
7,50.94662272
4,69.5988229
3,98.54569735
2,99.62699856
0,95.67686938
5,66.97871065
7,77.24197648
1,96.7831408
4,42.1484795
1,94.07864967
0,92.75239448
0,94.79064882
3,41.70582009
0,96.62103194
7,86.84669781
1,71.27637135
7,78.9594291
2,75.69056427
4,68.88518339
5,19.66638439
0,58.90305846
0,87.30348222
2,19.34593133
1,97.16947681
0,13.9696424
0,94.79404677
0,16.53387163
4,59.97282837
1,29.31796292
7,52.96298965
3,57.45496513
6,62.39033084
5,15.1779208
7,1.812713435
2,57.45496513
7,95.05281444
7,43.19281437
3,64.73433168
4,83.03210906
5,85.76711283
6,93.5206906
1,65.88575167
7,87.29843376
7,93.98925052
5,83.72971442
7,60.66321529
5,96.62999717
3,98.44322633
5,51.77995186
7,38.53470375
2,97.32417296
0,41.70582009
4,47.52350758
4,20.46953227
7,75.4379744
1,32.74319281
5,92.86925353
6,81.62895753
0,45.33714908
1,91.60778436
0,45.33714908
6,36.51881463
7,55.18146429
0,61.92023551
3,65.84221705
3,35.20622619
2,97.18899955
4,82.05508744
2,90.62341985
0,66.08178759
0,82.19258456
0,54.40385458
4,94.7249625
1,52.25342381
2,72.21362837
0,77.04936127
3,26.67157309
3,96.59822418
1,87.00265796
0,71.77163239
0,80.9826523
0,98.45821402
0,53.62901996
3,51.32765319
0,82.7114493
0,96.62805126
0,78.10688836
2,50.27447135
0,97.8304981
7,67.35690955
0,99.47646663
5,54.75617318
0,89.90649736
0,30.89048164
4,34.10784442
1,98.13332826
5,93.60689746
7,27.81918727
0,73.91347781
3,58.167767
3,44.70874303
2,81.5523064
6,98.17687957
2,81.82099807
5,31.315611
4,42.35560365
2,59.47446449
0,52.82514857
0,51.9110774
0,99.50570658
0,78.28265536
3,69.54558992
7,63.68390278
0,32.79325237
1,89.82805567
5,50.5995942
0,87.50167897
7,23.70077074
0,57.38131801
2,59.1349812
0,97.15410227
0,51.81370585
0,53.65951294
1,95.81029039
0,97.10273335
4,45.26162121
5,76.3857129
6,63.31177575
0,74.41919519
0,94.89062216
0,35.18872425
6,70.2948453
7,66.5318241
0,46.4073505
0,99.49405991
5,79.09665201
1,84.57523065
6,66.83362843
0,79.36575134
0,96.87222741
2,93.38873457
